frame_id,capture_time,processing_ms,detection_ok,detection_count,changed_pixel_ratio,compensation_mode,compensation_ok,inlier_ratio,overlap_ratio,track_id,visible,prediction_only,measured_x,measured_y,filtered_x,filtered_y,predicted_x,predicted_y,center_error_x,center_error_y,velocity_x,velocity_y,miss_count,confidence,pan,tilt,zoom,command_reason,captured,sharpness
0,6601.453000,1.566,0,0,0.000000,none,0,,,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
1,6601.519667,2.026,1,1,0.013316,identity,1,,1.0,1,1,0,52.0,171.0,52.0,171.0,52.0,171.0,-268.0,-9.0,0.0,0.0,0,0.8672962962962963,-20,0,0,tracking,0,0.0
2,6601.586333,1.850,1,1,0.013607,identity,1,,1.0,1,1,0,55.0,174.5,54.20846939086914,173.57655334472656,54.234859023094174,173.60734124988318,-265.76514097690585,-6.392658750116823,0.14660906791687012,0.17104391753673553,0,0.909471473076905,-20,0,0,tracking,0,0.0
3,6601.653000,1.995,1,1,0.013607,identity,1,,1.0,1,1,0,58.0,178.5,55.845130920410156,175.70108032226562,55.96211387872696,175.84953806996344,-264.03788612127306,-4.150461930036556,0.6499053239822388,0.8247652649879456,0,0.9008621482546885,-20,0,0,tracking,0,0.0
4,6601.719667,1.848,1,1,0.013611,identity,1,,1.0,1,1,0,61.0,182.5,57.49922561645508,177.8812255859375,57.815193979740144,178.29221588134766,-262.1848060202599,-1.7077841186523415,1.7553797960281372,2.2832794189453125,0,0.8886317469548488,-20,0,0,tracking,0,0.0
5,6601.786333,1.738,1,1,0.013316,identity,1,,1.0,1,1,0,64.0,186.0,59.29166030883789,180.124267578125,59.94195604801178,180.95247913360595,-260.0580439519882,0.9524791336059479,3.6127541065216064,4.601175308227539,0,0.8780815851283651,-20,0,0,tracking,0,0.0
6,6601.853000,1.596,1,1,0.013611,identity,1,,1.0,1,1,0,67.0,189.5,61.31099319458008,182.59091186523438,62.43396827697754,183.9931746006012,-257.56603172302243,3.9931746006012077,6.238750457763672,7.790348529815674,0,0.8708348845829478,-20,0,0,tracking,0,0.0
7,6601.919667,1.747,1,1,0.013299,identity,1,,1.0,1,1,0,70.0,193.0,63.615013122558594,185.36732482910156,65.32590919494629,187.47239336013794,-254.6740908050537,7.472393360137943,9.50497817993164,11.694825172424316,0,0.8634262371901229,-20,0,0,tracking,0,0.0
8,6601.986333,1.861,1,1,0.013598,identity,1,,1.0,1,1,0,73.0,196.5,66.21932983398438,188.47830200195312,68.59089630126954,191.36496006011964,-251.40910369873046,11.364960060119643,13.175369262695312,16.036989212036133,0,0.8609565668620469,-20,0,0,tracking,0,0.0
9,6602.053000,1.727,1,1,0.013312,identity,1,,1.0,1,1,0,76.0,200.0,69.0982666015625,191.89639282226562,72.15416046142577,195.58654697418214,-247.84583953857424,15.586546974182141,16.977188110351562,20.500856399536133,0,0.8589814043977491,-20,0,0,tracking,0,0.0
