frame_id,capture_time,processing_ms,detection_ok,detection_count,changed_pixel_ratio,compensation_mode,compensation_ok,inlier_ratio,overlap_ratio,track_id,visible,prediction_only,measured_x,measured_y,filtered_x,filtered_y,predicted_x,predicted_y,center_error_x,center_error_y,velocity_x,velocity_y,miss_count,confidence,pan,tilt,zoom,command_reason,captured,sharpness
33,559.718000,43.830,1,1,0.011115,orb,1,0.9943342776203966,1.0,1,1,0,278.0,212.0,293.3060607910156,205.54693603515625,289.1981281661987,206.62537177085878,-30.801871833801272,26.625371770858777,-22.821847915649414,5.991309642791748,0,0.6543411329564306,-3,-5,0,tracking,0,0.0
34,559.765000,15.998,1,2,0.010269,orb,1,0.9957924263674615,1.0,1,0,1,,,292.2334289550781,205.82852172851562,288.1254963302612,206.90695746421815,-31.874503669738772,26.906957464218152,-22.821847915649414,5.991309642791748,1,0.6158985913952195,-3,-5,0,tracking,0,0.0
35,559.796000,47.527,1,0,0.009102,orb,1,0.9874651810584958,1.0,1,0,1,,,291.52593994140625,206.01425170898438,287.41800731658935,207.0926874446869,-32.58199268341065,27.092687444686902,-22.821847915649414,5.991309642791748,2,0.5905428724931064,-4,-5,0,tracking,0,0.0
36,559.843000,15.700,1,1,0.008945,orb,1,0.9985815602836879,1.0,1,0,1,,,290.45330810546875,206.29583740234375,286.34537548065185,207.37427313804628,-33.65462451934815,27.374273138046277,-22.821847915649414,5.991309642791748,3,0.5521003309319883,-4,-5,0,tracking,0,0.0
37,559.875000,15.893,1,0,0.009440,orb,1,0.9915014164305949,1.0,1,0,1,,,289.7230224609375,206.48756408691406,285.6150898361206,207.5659998226166,-34.3849101638794,27.56599982261659,-22.821847915649414,5.991309642791748,4,0.5259266856136992,-4,-5,0,tracking,0,0.0
38,559.921000,40.582,1,0,0.008650,orb,1,0.9931224209078404,1.0,1,0,1,,,288.6732177734375,206.76316833496094,284.5652851486206,207.84160407066346,-35.4347148513794,27.841604070663465,-22.821847915649414,5.991309642791748,5,0.4883020704686642,-4,-5,0,tracking,0,0.0
39,559.953000,16.160,1,1,0.008472,orb,1,0.9943582510578279,1.0,1,0,1,,,287.94293212890625,206.95489501953125,283.83499950408935,208.03333075523378,-36.16500049591065,28.033330755233777,-22.821847915649414,5.991309642791748,6,0.4621284251504679,-4,-5,0,tracking,0,0.0
40,560.000000,26.323,1,1,0.007279,orb,1,0.9901823281907434,1.0,1,0,1,,,286.87030029296875,207.23648071289062,282.76236766815185,208.31491644859315,-37.23763233184815,28.314916448593152,-22.821847915649414,5.991309642791748,7,0.4236858835892568,-4,-6,0,tracking,0,0.0
41,560.062000,34.038,1,1,0.005946,orb,1,0.9943100995732574,1.0,1,0,1,,,285.4553527832031,207.60794067382812,281.3474201583862,208.68637640953065,-38.65257984161377,28.686376409530652,-22.821847915649414,5.991309642791748,8,0.3729744457851238,0,0,0,prediction_stale,0,0.0
42,560.078000,18.861,1,1,0.004405,orb,1,0.9986468200270636,1.0,1,0,1,,,285.0902099609375,207.70379638671875,280.9822773361206,208.78223212242128,-39.0177226638794,28.782232122421277,-22.821847915649414,5.991309642791748,9,0.3598876231260257,0,0,0,prediction_stale,0,0.0
43,560.125000,17.172,1,0,0.001780,orb,1,1.0,1.0,1,0,1,,,284.017578125,207.98538208007812,279.9096455001831,209.06381781578065,-40.0903544998169,29.063817815780652,-22.821847915649414,5.991309642791748,10,0.32144508156481455,0,0,0,prediction_stale,0,0.0
44,560.171000,50.976,1,0,0.002222,orb,1,0.9986842105263158,1.0,1,0,1,,,282.9677734375,208.260986328125,278.8598408126831,209.33942206382753,-41.1401591873169,29.339422063827527,-22.821847915649414,5.991309642791748,11,0.2838204664197796,0,0,0,prediction_stale,0,0.0
45,560.203000,15.774,1,0,0.001997,orb,1,0.9960629921259843,1.0,1,0,1,,,282.23748779296875,208.4527130126953,278.12955516815185,209.53114874839784,-41.87044483184815,29.53114874839784,-22.821847915649414,5.991309642791748,12,0.2576468211015834,0,0,0,prediction_stale,0,0.0
46,560.234000,15.380,1,0,0.002378,orb,1,0.9933422103861518,1.0,1,0,1,,,,,,,,,0.0,0.0,13,0.0,0,0,0,lost,0,0.0
47,560.281000,25.024,1,1,0.008750,orb,1,0.9919028340080972,1.0,2,1,0,58.5,53.5,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,0,0.7519893899204244,-20,20,0,tracking,0,0.0
48,560.312000,15.612,1,0,0.006437,orb,1,0.9918256130790191,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,1,0.722849801060949,-20,20,0,tracking,0,0.0
49,560.359000,15.524,1,0,0.006471,orb,1,0.9945872801082544,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,2,0.6786704244031001,-20,20,0,tracking,0,0.0
50,560.406000,24.572,1,1,0.002504,orb,1,0.9925705794947994,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,3,0.6344910477453581,-20,20,0,tracking,0,0.0
51,560.437000,15.548,1,1,0.002457,orb,1,0.9864130434782609,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,4,0.6053514588858827,-20,20,0,tracking,0,0.0
52,560.484000,15.156,1,0,0.002196,orb,1,0.9919246298788694,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,5,0.5611720822280338,-20,20,0,tracking,0,0.0
53,560.515000,42.127,1,0,0.001953,orb,1,0.9959072305593452,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,6,0.5320324933686652,-20,20,0,tracking,0,0.0
54,560.562000,15.145,1,0,0.001280,orb,1,0.9894319682959049,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,7,0.4878531167108163,-20,20,0,tracking,0,0.0
55,560.593000,25.894,1,0,0.000959,orb,1,0.9946524064171123,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,8,0.45871352785144776,0,0,0,prediction_stale,0,0.0
56,560.640000,15.544,1,0,0.000911,orb,1,0.9973333333333333,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,9,0.41453415119359893,0,0,0,prediction_stale,0,0.0
57,560.671000,15.832,1,0,0.011337,orb,1,0.9986595174262735,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,10,0.38539456233412345,0,0,0,prediction_stale,0,0.0
58,560.718000,26.702,1,0,0.000482,orb,1,0.9948119325551232,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,11,0.3412151856763815,0,0,0,prediction_stale,0,0.0
59,560.765000,15.235,1,0,0.000000,orb,1,0.9973474801061007,1.0,2,0,1,,,58.5,53.5,58.5,53.5,-261.5,-126.5,0.0,0.0,12,0.2970358090185326,0,0,0,prediction_stale,0,0.0
60,560.796000,15.578,1,0,0.000000,orb,1,0.9922077922077922,1.0,2,0,1,,,,,,,,,0.0,0.0,13,0.0,0,0,0,lost,0,0.0
61,560.843000,25.092,1,0,0.003199,orb,1,0.9920634920634921,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
62,560.875000,16.349,1,0,0.001502,orb,1,0.9987146529562982,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
63,560.921000,16.546,1,0,0.002734,orb,1,0.994750656167979,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
64,560.984000,35.099,1,3,0.009115,orb,1,0.9986893840104849,1.0,3,1,0,55.0,58.0,55.0,58.0,55.0,58.0,-265.0,-122.0,0.0,0.0,0,0.7016176960015216,-20,20,0,tracking,0,0.0
65,561.000000,16.403,1,1,0.005039,orb,1,0.9973509933774835,1.0,3,1,0,47.0,57.0,49.11724853515625,57.26465606689453,49.10031035169959,57.26253879396245,-270.8996896483004,-122.73746120603755,-0.09410101920366287,-0.011762627400457859,0,0.8153496368406686,-20,20,0,tracking,0,0.0
66,561.031000,16.796,1,0,0.000000,orb,1,0.9774535809018567,1.0,3,0,1,,,49.11433029174805,57.26428985595703,49.09739210829139,57.26217258302495,-270.9026078917086,-122.73782741697505,-0.09410101920366287,-0.011762627400457859,1,0.7837548384131446,-20,20,0,tracking,0,0.0
67,561.093000,33.149,1,0,0.000000,orb,1,0.9933155080213903,1.0,3,0,1,,,49.108497619628906,57.2635612487793,49.09155943617225,57.261443975847214,-270.90844056382775,-122.73855602415279,-0.09410101920366287,-0.011762627400457859,2,0.7205652415579807,-20,20,0,tracking,0,0.0
68,561.125000,16.223,1,0,0.000243,orb,1,0.9973045822102425,1.0,3,0,1,,,49.10548782348633,57.26318359375,49.08854964002967,57.26106632081792,-270.91145035997033,-122.73893367918208,-0.09410101920366287,-0.011762627400457859,3,0.6879512560843142,-20,20,0,tracking,0,0.0
69,561.171000,36.803,1,4,0.051604,orb,1,0.8267716535433071,0.9952387152777777,3,1,0,10.0,173.5,31.477108001708984,109.65426635742188,29.57804943084717,115.2471928024292,-290.42195056915284,-64.7528071975708,-10.550325393676758,31.071813583374023,0,0.4031819190445459,-20,13,0,tracking,0,0.0
70,561.203000,34.701,1,0,0.013298,orb,1,0.9345238095238095,0.9961631944444445,3,0,1,,,31.139497756958008,110.64856719970703,29.240439186096193,116.24149364471435,-290.7595608139038,-63.75850635528565,-10.550325393676758,31.071813583374023,1,0.3870546422828017,-20,12,0,tracking,0,0.0
71,561.234000,15.678,1,1,0.019762,orb,1,0.8661538461538462,0.996875,3,0,1,,,30.812437057495117,111.6117935180664,28.913378486633302,117.20471996307373,-291.0866215133667,-62.79528003692627,-10.550325393676758,31.071813583374023,2,0.3714313429197939,-20,12,0,tracking,0,0.0
72,561.281000,15.899,1,1,0.017811,orb,1,0.8843226788432268,0.9945052083333333,3,0,1,,,30.316572189331055,113.0721664428711,28.41751361846924,118.66509288787842,-291.58248638153077,-61.334907112121584,-10.550325393676758,31.071813583374023,3,0.34774440517597127,-20,12,0,tracking,0,0.0
73,561.312000,15.931,1,1,0.017098,orb,1,0.9578125,0.996875,3,0,1,,,29.989511489868164,114.03539276123047,28.09045291900635,119.62831920623779,-291.90954708099366,-60.37168079376221,-10.550325393676758,31.071813583374023,4,0.3321211058129635,-20,12,0,tracking,0,0.0
74,561.359000,24.957,1,3,0.016647,orb,1,0.8114374034003091,0.9959765625,3,1,0,64.0,18.0,43.02256393432617,77.27057647705078,44.01440114021301,74.69543952941895,-275.985598859787,-105.30456047058105,5.510206699371338,-14.306316375732422,0,0.5324326476390124,-20,20,0,tracking,0,0.0
75,561.390000,15.573,1,0,0.008589,orb,1,0.9060092449922958,1.0,3,0,1,,,43.19337844848633,76.82707977294922,44.18521565437317,74.25194282531739,-275.81478434562683,-105.74805717468261,5.510206699371338,-14.306316375732422,1,0.5118008825430346,-20,20,0,tracking,0,0.0
76,561.437000,15.171,1,0,0.004063,orb,1,0.974124809741248,0.9977604166666667,3,0,1,,,43.45235824584961,76.1546859741211,44.44419545173645,73.57954902648926,-275.55580454826355,-106.42045097351074,5.510206699371338,-14.306316375732422,2,0.4805204644942257,-20,20,0,tracking,0,0.0
77,561.484000,42.233,1,0,0.000443,orb,1,0.9920106524633822,1.0,3,0,1,,,43.71133804321289,75.48229217529297,44.70317524909973,72.90715522766114,-275.29682475090027,-107.09284477233886,5.510206699371338,-14.306316375732422,3,0.44924004644541676,-20,20,0,tracking,0,0.0
78,561.515000,15.274,1,0,0.000456,orb,1,0.9946666666666667,1.0,3,0,1,,,43.88215255737305,75.0387954711914,44.873989763259885,72.46365852355957,-275.1260102367401,-107.53634147644043,5.510206699371338,-14.306316375732422,4,0.4286082813494389,-20,20,0,tracking,0,0.0
79,561.562000,15.130,1,0,0.000530,orb,1,0.9986789960369881,1.0,3,0,1,,,44.14113235473633,74.36640167236328,45.13296956062317,71.79126472473145,-274.86703043937683,-108.20873527526855,5.510206699371338,-14.306316375732422,5,0.39732786330062997,-20,20,0,tracking,0,0.0
80,561.593000,25.472,1,0,0.000243,orb,1,0.9935064935064936,1.0,3,0,1,,,44.311946868896484,73.92290496826172,45.30378407478332,71.34776802062989,-274.6962159252167,-108.65223197937011,5.510206699371338,-14.306316375732422,6,0.37669609820465216,-20,20,0,tracking,0,0.0
81,561.640000,15.099,1,0,0.000000,orb,1,0.9986962190352021,1.0,3,0,1,,,44.570926666259766,73.2505111694336,45.562763872146604,70.67537422180176,-274.4372361278534,-109.32462577819824,5.510206699371338,-14.306316375732422,7,0.34541568015584323,-20,20,0,tracking,0,0.0
82,561.687000,41.661,1,0,0.006519,orb,1,0.9960474308300395,1.0,3,0,1,,,44.82990646362305,72.57811737060547,45.821743669509885,70.00298042297364,-274.1782563304901,-109.99701957702636,5.510206699371338,-14.306316375732422,8,0.3141352621070343,0,0,0,prediction_stale,0,0.0
83,561.718000,15.958,1,0,0.000000,orb,1,0.9974093264248705,1.0,3,0,1,,,45.0007209777832,72.1346206665039,45.99255818367004,69.55948371887207,-274.00744181632996,-110.44051628112793,5.510206699371338,-14.306316375732422,9,0.29350349701105644,0,0,0,prediction_stale,0,0.0
84,561.765000,16.275,1,0,0.000647,orb,1,0.9935064935064936,1.0,3,0,1,,,45.259700775146484,71.46222686767578,46.25153798103332,68.88708992004395,-273.7484620189667,-111.11291007995605,5.510206699371338,-14.306316375732422,10,0.2622230789622475,0,0,0,prediction_stale,0,0.0
85,561.796000,39.578,1,0,0.001020,orb,1,0.9960988296488946,1.0,3,0,1,,,45.43051528930664,71.01873016357422,46.42235249519348,68.44359321594239,-273.5776475048065,-111.55640678405761,5.510206699371338,-14.306316375732422,11,0.24159131386619404,0,0,0,prediction_stale,0,0.0
