frame_id,capture_time,processing_ms,detection_ok,detection_count,changed_pixel_ratio,compensation_mode,compensation_ok,inlier_ratio,overlap_ratio,track_id,visible,prediction_only,measured_x,measured_y,filtered_x,filtered_y,predicted_x,predicted_y,center_error_x,center_error_y,velocity_x,velocity_y,miss_count,confidence,pan,tilt,zoom,command_reason,captured,sharpness
0,6377.109000,1.306,0,0,0.000000,none,0,,,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
1,6377.175667,1041.749,1,1,0.011782,orb,1,0.8782287822878229,0.9909071180555555,1,1,0,53.0,171.5,53.0,171.5,53.0,171.5,-267.0,-8.5,0.0,0.0,0,0.8559774143302181,-20,0,0,tracking,0,0.0
2,6377.242333,9.710,1,1,0.012861,orb,1,0.9511111111111111,0.996875,1,1,0,55.5,174.5,54.84039306640625,173.70846557617188,54.86238442838192,173.7348552083969,-265.1376155716181,-6.265144791603092,0.1221742331981659,0.14660906791687012,0,0.9039815656033956,-20,0,0,tracking,0,0.0
3,6377.309000,9.945,1,1,0.012883,orb,1,0.9437229437229437,0.996875,1,1,0,58.5,178.5,56.419376373291016,175.77532958984375,56.528839801549914,175.91626780748368,-263.4711601984501,-4.083732192516322,0.608130156993866,0.7829900979995728,0,0.8945458187494477,-20,0,0,tracking,0,0.0
4,6377.375667,10.792,1,1,0.012862,orb,1,0.9147982062780269,0.9965147569444445,1,1,0,61.5,182.5,58.04816818237305,177.93017578125,58.35383514642715,178.3308642053604,-261.6461648535728,-1.669135794639601,1.6981498003005981,2.2260468006134033,0,0.8816721540443153,-20,0,0,tracking,0,0.0
5,6377.442333,10.043,1,1,0.012609,orb,1,0.7828054298642534,0.996875,1,1,0,64.5,186.0,59.82494354248047,180.15756225585938,60.462574448585514,180.9731081199646,-259.53742555141446,0.9731081199645928,3.542393922805786,4.530810356140137,0,0.8771324912153933,-20,0,0,tracking,0,0.0
6,6377.509000,10.416,1,1,0.012887,orb,1,0.943127962085308,0.9968836805555555,1,1,0,67.5,189.5,61.83277893066406,182.61270141601562,62.94127918243408,184.00048846244812,-257.0587208175659,4.000488462448118,6.158334732055664,7.709928035736084,0,0.8678714810248327,-20,0,0,tracking,0,0.0
7,6377.575667,11.259,1,1,0.012528,orb,1,0.9530516431924883,0.9963628472222222,1,1,0,70.5,193.0,64.127685546875,185.3800048828125,65.82293949127197,187.4694309425354,-254.17706050872803,7.469430942535411,9.41807746887207,11.607922554016113,0,0.8618030325246114,-20,0,0,tracking,0,0.0
8,6377.642333,13.747,1,1,0.013192,orb,1,0.9447004608294931,0.996875,1,1,0,73.0,196.5,66.61206817626953,188.483642578125,68.92972661972046,191.35413734436034,-251.07027338027956,11.354137344360339,12.875880241394043,15.947193145751953,0,0.8558521353417995,-20,0,0,tracking,0,0.0
9,6377.709000,9.961,1,1,0.012535,orb,1,0.9703389830508474,0.9961979166666667,1,1,0,76.5,200.0,69.49962615966797,191.89588928222656,72.51139205932617,195.56993061065674,-247.48860794067383,15.56993061065674,16.732032775878906,20.411340713500977,0,0.856726540005663,-20,0,0,tracking,0,0.0
10,6377.775667,10.476,1,1,0.012574,orb,1,0.9705882352941176,0.996875,1,1,0,79.5,203.0,72.60920715332031,195.4434356689453,76.29434295654296,199.85590690612793,-243.70565704345705,19.855906906127927,20.472976684570312,24.513729095458984,0,0.8604344800003112,-20,-4,0,tracking,0,0.0
11,6377.842333,10.410,1,1,0.012583,orb,1,0.8952380952380953,0.996875,1,1,0,82.5,206.0,75.8768310546875,199.0688934326172,80.18393550872803,204.13225036621094,-239.81606449127196,24.13225036621094,23.92835807800293,28.1297607421875,0,0.865069266545535,-20,-5,0,tracking,0,0.0
12,6377.909000,10.382,1,1,0.012504,orb,1,0.9653465346534653,0.996875,1,1,0,85.5,209.0,79.24275970458984,202.72105407714844,84.10391944885254,208.34038787841797,-235.89608055114746,28.34038787841797,27.00644302368164,31.218521118164062,0,0.869802506285207,-20,-6,0,tracking,0,0.0
13,6377.975667,9.734,1,1,0.012200,orb,1,0.9,0.996875,1,1,0,88.5,211.5,82.65899658203125,206.2536163330078,88.00123149871825,212.3050520324707,-231.99876850128175,32.30505203247071,29.6790828704834,33.61908721923828,0,0.8740115483679519,-20,-6,0,tracking,0,0.0
14,6378.042333,12.341,1,1,0.012243,orb,1,0.8823529411764706,0.996875,1,1,0,91.5,213.5,86.09098052978516,209.55491638183594,91.84379306793213,215.90580848693847,-228.15620693206787,35.90580848693847,31.96006965637207,35.28273391723633,0,0.8825818851820914,-20,-7,0,tracking,0,0.0
15,6378.109000,10.240,1,1,0.012205,orb,1,0.9392523364485982,0.9967578125,1,1,0,94.5,215.5,89.51602172851562,212.6478271484375,95.61548278808594,219.19709526062013,-224.38451721191404,39.19709526062013,33.885894775390625,36.384822845458984,0,0.8891495533612034,-20,-8,0,tracking,0,0.0
16,6378.175667,9.910,1,1,0.012182,orb,1,0.9432314410480349,0.996875,1,1,0,97.5,217.5,92.92057800292969,215.5590057373047,99.31095565795898,222.23157890319825,-220.68904434204103,42.231578903198255,35.502098083496094,37.06985092163086,0,0.8963691143833497,-20,-8,0,tracking,0,0.0
17,6378.242333,10.314,1,1,0.012204,orb,1,0.9301310043668122,0.996875,1,1,0,100.5,219.5,96.29753875732422,218.3151397705078,102.93143730163574,225.05637199401855,-217.06856269836425,45.05637199401855,36.8549919128418,37.451290130615234,0,0.9008568582689311,-20,-9,0,tracking,0,0.0
18,6378.309000,10.733,1,1,0.012021,orb,1,0.9419642857142857,0.996875,1,1,0,103.5,221.0,99.64399719238281,220.84715270996094,106.48172233581543,227.5964646911621,-213.51827766418455,47.59646469116211,37.987361907958984,37.496177673339844,0,0.9021335209638848,-20,-9,0,tracking,0,0.0
19,6378.375667,9.797,1,1,0.011895,orb,1,0.941747572815534,0.996875,1,1,0,106.5,222.0,102.95967102050781,223.1029052734375,109.96827476501466,229.7989836883545,-210.03172523498534,49.7989836883545,38.93668746948242,37.200435638427734,0,0.902491680576484,-20,-10,0,tracking,0,0.0
20,6378.442333,9.376,1,1,0.011930,orb,1,0.9609756097560975,0.996875,1,1,0,109.5,223.0,106.24577331542969,225.1309051513672,113.39803291320801,231.7329165649414,-206.601967086792,51.732916564941405,39.73477554321289,36.67784118652344,0,0.9017123592387459,-20,-10,0,tracking,0,0.0
21,6378.509000,9.764,1,1,0.011059,orb,1,0.9345794392523364,0.996875,1,1,0,112.5,224.0,109.50431823730469,226.97146606445312,116.77777694702148,233.45325820922852,-203.2222230529785,53.45325820922852,40.408103942871094,36.00995635986328,0,0.8915710314010514,-20,-10,0,tracking,0,0.0
