frame_id,capture_time,processing_ms,detection_ok,detection_count,changed_pixel_ratio,compensation_mode,compensation_ok,inlier_ratio,overlap_ratio,track_id,visible,prediction_only,measured_x,measured_y,filtered_x,filtered_y,predicted_x,predicted_y,center_error_x,center_error_y,velocity_x,velocity_y,miss_count,confidence,pan,tilt,zoom,command_reason,captured,sharpness
0,348.531000,28.266,0,0,0.000000,none,0,,,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
14,348.578000,5.705,1,9,0.137010,identity,1,,1.0,1,1,0,108.5,105.0,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,0,0.7181357839459865,-20,15,0,tracking,0,0.0
15,348.609000,3.595,1,2,0.021445,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,1,0.6903080223180742,-20,15,0,tracking,0,0.0
16,348.656000,3.645,1,0,0.000395,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,2,0.6481175450112246,-20,15,0,tracking,0,0.0
17,348.687000,3.381,1,0,0.000378,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,3,0.6202897833833124,-20,15,0,tracking,0,0.0
18,348.734000,3.401,1,0,0.000000,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,4,0.5780993060765138,-20,15,0,tracking,0,0.0
19,348.765000,3.426,1,0,0.000113,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,5,0.5502715444486016,-20,15,0,tracking,0,0.0
20,348.812000,3.607,1,0,0.000286,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,6,0.508081067141752,-20,15,0,tracking,0,0.0
21,348.875000,6.766,1,0,0.000000,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,7,0.4515278741560162,-20,15,0,tracking,0,0.0
22,348.890000,5.748,1,0,0.000000,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,8,0.4380628282070412,0,0,0,prediction_stale,0,0.0
23,348.937000,4.330,1,0,0.000000,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,9,0.3958723509001916,0,0,0,prediction_stale,0,0.0
24,348.984000,3.229,1,0,0.002287,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,10,0.35368187359339304,0,0,0,prediction_stale,0,0.0
25,349.015000,4.389,1,0,0.001801,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,11,0.32585411196548075,0,0,0,prediction_stale,0,0.0
26,349.062000,3.199,1,0,0.001124,identity,1,,1.0,1,0,1,,,108.5,105.0,108.5,105.0,-211.5,-75.0,0.0,0.0,12,0.2836636346586312,0,0,0,prediction_stale,0,0.0
27,349.093000,3.565,1,0,0.002040,identity,1,,1.0,1,0,1,,,,,,,,,0.0,0.0,13,0.0,0,0,0,lost,0,0.0
28,349.140000,3.932,1,0,0.001089,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
29,349.171000,3.431,1,0,0.000391,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
30,349.218000,3.778,1,0,0.000612,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
31,349.250000,5.127,1,0,0.000642,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
32,349.296000,6.564,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
33,349.343000,4.020,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
34,349.375000,5.613,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
35,349.421000,4.778,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
36,349.453000,3.499,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
37,349.515000,7.655,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
38,349.531000,4.909,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
39,349.578000,3.241,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
40,349.609000,6.402,1,0,0.001115,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
41,349.656000,4.389,1,0,0.000595,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
42,349.703000,4.546,1,0,0.000677,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
43,349.734000,3.602,1,0,0.000720,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
44,349.781000,3.133,1,0,0.000773,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
45,349.812000,4.440,1,0,0.000742,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
46,349.859000,4.513,1,0,0.000243,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
47,349.890000,4.585,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
48,349.937000,7.321,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
49,349.968000,5.616,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
50,350.015000,7.754,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
51,350.046000,5.453,1,0,0.000638,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
52,350.093000,5.981,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
53,350.125000,7.585,1,0,0.000113,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
54,350.187000,3.261,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
55,350.218000,5.242,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
56,350.250000,5.606,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
57,350.296000,6.970,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
58,350.328000,6.483,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
59,350.375000,3.839,1,0,0.000000,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
60,350.406000,7.230,1,0,0.000699,identity,1,,1.0,,0,0,,,,,,,,,0.0,0.0,0,0.0,0,0,0,lost,0,0.0
